#Predictions based on model below... 
#
# Call:
#   lm(formula = A2 ~ Year + Year2 + Year3, data = data.frame(A2 = table2$A2, 
#                                                             Year = table2$Year, Year2 = table2$Year * table2$Year, Year3 = (table2$Year)^3))
# 
# Residuals:
#   Min      1Q  Median      3Q     Max 
# -2.3504 -1.5337  0.1563  1.1378  2.9066 
# 
# Coefficients:
#   Estimate Std. Error t value Pr(>|t|)    
# (Intercept) -6.360e+05  8.778e+04  -7.246 2.77e-05 ***
#   Year         9.894e+02  1.295e+02   7.643 1.75e-05 ***
#   Year2       -5.131e-01  6.363e-02  -8.064 1.10e-05 ***
#   Year3        8.875e-05  1.042e-05   8.516 6.78e-06 ***
#   ---
#   Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
# 
# Residual standard error: 1.95 on 10 degrees of freedom
# Multiple R-squared:  0.9999,	Adjusted R-squared:  0.9999 
# F-statistic: 3.327e+04 on 3 and 10 DF,  p-value: < 2.2e-16
#


Year Month CO2
1200-1948 1 304.8328305881
1200-1948 2 304.89121413196
1200-1948 3 304.949671530281
1200-1948 4 305.008203090867
1200-1948 5 305.066809122567
1200-1948 6 305.125489932601
1200-1948 7 305.184245830169
1200-1948 8 305.243077122141
1200-1948 9 305.301984118181
1200-1948 10 305.360967125045
1200-1948 11 305.420026452048
1200-1948 12 305.479162406758
1949 1 305.538375297212
1949 2 305.59766543156
1949 3 305.657033118303
1949 4 305.716478665709
1949 5 305.77600238123
1949 6 305.835604573949
1949 7 305.895285550854
1949 8 305.955045621144
1949 9 306.014885092853
1949 10 306.074804274016
1949 11 306.134803472436
1949 12 306.194882996497
1950 1 306.25504315435
1950 2 306.315284254262
1950 3 306.375606604386
1950 4 306.436010512523
1950 5 306.496496287175
1950 6 306.557064236724
1950 7 306.61771466909
1950 8 306.678447892074
1950 9 306.739264214528
1950 10 306.80016394367
1950 11 306.86114738835
1950 12 306.922214856721
1951 1 306.983366657281
1951 2 307.044603096903
1951 3 307.105924485018
1951 4 307.167331128963
1951 5 307.22882333782
